TIME;TEMP;HUM
2020-01-01 14:00:00;20.1;40.0
2020-01-01 14:00:01;20.2;39.8
2020-01-01 14:00:02;20.3;40.0
2020-01-01 14:00:03;20.3;40.2
2020-01-01 14:00:04;20.3;40.0
2020-01-01 14:00:05;20.4;40.2
2020-01-01 14:00:06;20.3;40.2
2020-01-01 14:00:07;20.4;40.0
2020-01-01 14:00:08;20.5;39.8
2020-01-01 14:00:09;20.4;39.6
2020-01-01 14:00:10;20.4;39.8
2020-01-01 14:00:11;20.4;39.6
2020-01-01 14:00:12;20.3;39.6
2020-01-01 14:00:13;20.2;39.4
2020-01-01 14:00:14;20.2;39.6
2020-01-01 14:00:15;20.3;39.4
2020-01-01 14:00:16;20.3;39.2
2020-01-01 14:00:17;20.2;39.0
2020-01-01 14:00:18;20.2;39.2
2020-01-01 14:00:19;20.2;39.2
2020-01-01 14:00:20;20.3;39.2
2020-01-01 14:00:21;20.2;39.2
2020-01-01 14:00:22;20.1;39.0
2020-01-01 14:00:23;20.2;38.8
2020-01-01 14:00:24;20.3;38.8
2020-01-01 14:00:25;20.4;38.6
2020-01-01 14:00:26;20.3;38.8
2020-01-01 14:00:27;20.4;38.8
2020-01-01 14:00:28;20.3;38.8
2020-01-01 14:00:29;20.2;38.8
2020-01-01 14:00:30;20.1;38.6
2020-01-01 14:00:31;20.1;38.4
2020-01-01 14:00:32;20.2;38.2
2020-01-01 14:00:33;20.2;38.2
2020-01-01 14:00:34;20.1;38.2
2020-01-01 14:00:35;20.0;38.0
2020-01-01 14:00:36;20.1;37.8
2020-01-01 14:00:37;20.1;37.6
2020-01-01 14:00:38;20.0;37.8
2020-01-01 14:00:39;20.1;38.0
2020-01-01 14:00:40;20.0;38.2
2020-01-01 14:00:41;19.9;38.4
2020-01-01 14:00:42;20.0;38.4
2020-01-01 14:00:43;19.9;38.6
2020-01-01 14:00:44;19.8;38.4
2020-01-01 14:00:45;19.7;38.2
2020-01-01 14:00:46;19.7;38.4
2020-01-01 14:00:47;19.6;38.4
2020-01-01 14:00:48;19.6;38.4
2020-01-01 14:00:49;19.5;38.2
2020-01-01 14:00:50;19.6;38.4
2020-01-01 14:00:51;19.6;38.6
2020-01-01 14:00:52;19.5;38.4
2020-01-01 14:00:53;19.4;38.6
2020-01-01 14:00:54;19.5;38.4
2020-01-01 14:00:55;19.5;38.2
2020-01-01 14:00:56;19.4;38.4
2020-01-01 14:00:57;19.3;38.2
2020-01-01 14:00:58;19.4;38.0
2020-01-01 14:00:59;19.4;37.8
2020-01-01 14:01:00;19.3;37.8
2020-01-01 14:01:01;19.4;37.8
2020-01-01 14:01:02;19.4;37.8
2020-01-01 14:01:03;19.5;38.0
2020-01-01 14:01:04;19.5;38.2
2020-01-01 14:01:05;19.6;38.0
