transaction_id,line_id,customer_id,product_id,transaction_date,quantity,price,total
TX-2457803684,TX-2457803684-0001,CST-7575130824,PRD-0909181025,2023-01-01,3,2.75,8.25
TX-2457803684,TX-2457803684-0002,CST-7575130824,PRD-8371918656,2023-01-01,4,0.99,3.96
TX-2457803684,TX-2457803684-0003,CST-7575130824,PRD-6989027398,2023-01-01,1,0.79,0.79
TX-2457803684,TX-2457803684-0004,CST-7575130824,PRD-3605380219,2023-01-01,1,1.29,1.29
TX-3683581412,TX-3683581412-0001,CST-6945687745,PRD-0909181025,2023-01-01,1,2.75,2.75
TX-3683581412,TX-3683581412-0002,CST-6945687745,PRD-2996275991,2023-01-01,2,2.09,4.18
TX-3683581412,TX-3683581412-0003,CST-6945687745,PRD-1191876454,2023-01-01,1,5.29,5.29
TX-3683581412,TX-3683581412-0004,CST-6945687745,PRD-7146890460,2023-01-01,1,0.99,0.99
TX-3683581412,TX-3683581412-0005,CST-6945687745,PRD-8518368548,2023-01-01,1,2.49,2.49
TX-9092901569,TX-9092901569-0001,CST-1405437507,PRD-2495259776,2023-01-01,1,2.79,2.79
TX-9092901569,TX-9092901569-0002,CST-1405437507,PRD-9153225765,2023-01-01,1,6.99,6.99
TX-9092901569,TX-9092901569-0003,CST-1405437507,PRD-9153225765,2023-01-01,2,6.99,13.98
TX-9092901569,TX-9092901569-0004,CST-1405437507,PRD-9036649921,2023-01-01,2,2.99,5.98
TX-9092901569,TX-9092901569-0005,CST-1405437507,PRD-9153225765,2023-01-01,1,6.99,6.99
TX-9804361829,TX-9804361829-0001,CST-6644891452,PRD-5827931980,2023-01-01,5,1.19,5.95
TX-9804361829,TX-9804361829-0002,CST-6644891452,PRD-2495259776,2023-01-01,1,2.79,2.79
TX-9804361829,TX-9804361829-0003,CST-6644891452,PRD-5827931980,2023-01-01,1,1.19,1.19
TX-9804361829,TX-9804361829-0004,CST-6644891452,PRD-3221082108,2023-01-01,2,1.19,2.38
TX-9804361829,TX-9804361829-0005,CST-6644891452,PRD-5827931980,2023-01-01,1,1.19,1.19
TX-1071684732,TX-1071684732-0001,CST-6399590717,PRD-9327622206,2023-01-01,2,1.39,2.78
TX-2316373531,TX-2316373531-0001,CST-1317189960,PRD-3365821904,2023-01-01,1,2.99,2.99
TX-2316373531,TX-2316373531-0002,CST-1317189960,PRD-5827931980,2023-01-01,1,1.19,1.19
TX-2316373531,TX-2316373531-0003,CST-1317189960,PRD-0909181025,2023-01-01,1,2.75,2.75
TX-2501470910,TX-2501470910-0001,CST-6643040271,PRD-9036649921,2023-01-01,1,2.99,2.99
TX-2501470910,TX-2501470910-0002,CST-6643040271,PRD-8843993334,2023-01-01,2,1.29,2.58
TX-2501470910,TX-2501470910-0003,CST-6643040271,PRD-1191876454,2023-01-01,1,5.29,5.29
TX-7309303443,TX-7309303443-0001,CST-3676101191,PRD-6989027398,2023-01-01,1,0.79,0.79
TX-7309303443,TX-7309303443-0002,CST-3676101191,PRD-6989027398,2023-01-01,3,0.79,2.37
TX-7309303443,TX-7309303443-0003,CST-3676101191,PRD-8843993334,2023-01-01,3,1.29,3.87
TX-7309303443,TX-7309303443-0004,CST-3676101191,PRD-7601757841,2023-01-01,3,2.79,8.37
TX-7309303443,TX-7309303443-0005,CST-3676101191,PRD-3831087526,2023-01-01,3,14.17,42.51
TX-9315534255,TX-9315534255-0001,CST-3969742322,PRD-7146890460,2023-01-01,1,0.99,0.99
