filename,title,article,person
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",Baroness Amos
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",Lewis Boys' School
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",Neil Kinnock
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",Baroness Royall
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",Kinnock
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",James Callaghan's
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",John Major
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",Margaret Thatcher
bbc/politics/289.txt,Baron Kinnock makes Lords debut,"Former Labour leader Neil Kinnock has officially been made a life peer during a ceremony in the House of Lords.

He will be known Baron Kinnock of Bedwellty - after his former constituency. Lord Kinnock - who led Labour from 1983 until 1992 - was until recently one of Britain's EU commissioners. A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education. ""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced. ""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression."" During his induction into the Upper House, Lord Kinnock was accompanied by Lords Leader Baroness Amos and Baroness Royall of Blaisdon, a former aide to the ex-Labour leader. It has been a long journey for the new Lord Kinnock from his earliest days as a rebellious youngster in the south Wales valleys. Born in 1942 in Tredegar to a miner father and nurse mother, he attended Lewis Boys' School in nearby Pengam, known then as the ""Eton of the valleys"". From there he went to Cardiff University, where he met his future wife Glenys, now a Labour MEP.

After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn). He gained a reputation as a left-wing firebrand, voting against his own Labour government's spending cuts proposals in 1975, and later rejecting a junior post in James Callaghan's administration. But he joined the shadow cabinet in 1980, and after Labour's heavy defeat in the 1983 he was elected leader. He took on the far-left Militant Tendency and began the long process of returning his party to the centre ground. He was not expected to win the 1987 election, when Margaret Thatcher was still riding high, but was bitterly disappointed to lose the next one in 1992 to John Major, and stepped down. He remained an MP until 1995, when he resigned to become European commission for transport. Four years later he became vice-president of the European Commission, with responsibility for internal reform. As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.",Islwyn
bbc/politics/262.txt,Howard taunts Blair over splits,"Tony Blair's feud with Gordon Brown is damaging the way the UK is governed, Tory leader Michael Howard has claimed in a heated prime minister's questions.

Mr Howard asked: ""How can they fight crime when they are fighting each other?"" That question was later unveiled as the headline for new Tory campaign posters. But Mr Blair dismissed the talk of splits and said people's priorities at the next elections would be on the economic successes achieved by Labour. ""He can stick up whatever he likes on billboards about something in a book but what the public will concentrate on are the low mortgages, low inflation, low unemployment that we delivered and that he failed to,"" he said. The chancellor is currently on a high-profile tour of Africa to highlight new anti-poverty plans. But before doing so, he insisted he still trusted Mr Blair, despite claims to the contrary in a new book.

Brown's Britain, by Robert Peston, says there is mutual animosity between the two men. It claims Mr Blair said in November 2003 he would stand down as prime minister before the next election. But he went back on his pledge after support from Cabinet allies and suspicion that Mr Brown was manoeuvring against him, it says.

Mr Peston's book claimed that Mr Brown told Mr Blair: ""There is nothing you could ever say to me now that I could ever believe."" Mr Blair directly denied that quote on Wednesday. He again insisted there could be no deals about the premiership but twice declined directly to say whether or not he had offered to quit.

The Tory leader countered that such agreements had been struck twice at dinners with the chancellor. He declared: ""He is the deals on meals prime minister. No wonder the chancellor is not a happy eater."" He continued: ""How can there be discipline in schools when there is no discipline in government, how can they clean up our hospitals when they don't clean up their act?"" Mr Blair said he would not respond to ""tittle tattle in books"" and promised to hail Labour's record on the economy, waiting lists and law and order ""from now until polling day"". Later at their poster launch Tory co-chairman Liam Fox said his party would exploit opportunities to show how ""juvenile"" the prime minister and chancellor were.

Labour staged a show of unity at its own poster launch on Tuesday, where Mr Brown was joined by Alan Milburn, who Mr Blair controversially put in charge of election planning in place of the chancellor. But Liberal Democrat leader Charles Kennedy told BBC News: ""The government is clearly split at the top. This kind of cosmetic exercise does not persuade anybody."" Later this week Mr Blair is expected to outline the direction of his party's next election manifesto. The prime minister and chancellor faced backbench discontent at Monday's meeting of the Parliamentary Labour Party over claims made Mr Peston's book.",Blair
